title,price,rating,Brand,Item Weight,Item model number,Manufacturer,Series,Form Factor,Standing screen display size,Screen Resolution,Resolution,Processor Brand,Processor Type,Processor Speed,Processor Socket,Processor Count,RAM Size,Memory Technology,Computer Memory Type,Maximum Memory Supported,Memory Clock Speed,Hard Drive Size,Hard Disk Description,Hard Drive Interface,Hard Disk Rotational Speed,Graphics Coprocessor,Graphics Chipset Brand,Graphics Card Description,Graphics RAM Type,Graphics Card Ram Size,Graphics Card Interface,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Optical Drive Type,Operating System
HP ProDesk 600 G3 Desktop Computer - Intel Core i5 (7th Gen) i5-7500 3.40 GHz - 8 GB DDR4 SDRAM - 500GB HDD - Windows 10 Pro 64-bit - Micro Tower - Jet Black - DVD-Writer,8950.0,3.0,Generic,7 Kilograms,600,Hewlett,HP-600-G3,Tower,7,3840 x 2160,3840x2160,Intel,Core i5,3.4 GHz,LGA 1155,4,8,DDR4,DDR4 SDRAM,64 GB,2400 MHz,500,HDD,Serial ATA,7200,Intel HD Graphics 630,Intel,Dedicated,GDDR5,256 MB,Integrated,4,4,DVD-R,Windows 10 Pro
"Dell Optiplex 7020 SFF Desktop with Monitor (Intel Core i5, 4 GB, 500 GB, DOS)",5750.0,1.9,Dell,11 g,Optiplex 7020 SFF,Dell Computers,Optiplex 7020 SFF,"Small Form Factor, Tower",18.5 Inches,1366 x 768,1366x768,Intel,Core i5,4,500 GB,DDR3,DDR3 SDRAM,4 GB,500 GB,HDD,Serial ATA,Intel HD Graphics 4600,Integrated,DDR3 SDRAM,Integrated,Wi-Fi,802.11g,1,DOS
"HP EliteDesk 800 G3 Small Form Factor PC - Intel Core i5-6500,3.4 GHz, 500 GB, 4 GB, Eng-Ar Keyboard, Windows 10 Pro, Black",7799.0,2.7,HP,5.31 Kilograms,EliteDesk 800 G3,hp,EliteDesk 800 G3,Black,Small Form Factor,HD Graphics 630,1920x1080,Intel,Core i5 6500,3.4 GHz,4,4,DDR4,DDR4 SDRAM,500 GB,HDD,Serial ATA,Intel HD Graphics 530,Intel,Integrated,Shared,Integrated,Wi-Fi,Windows 10 Pro
"Dell OptiPlex Tower Desktop - 12th Intel Core i5-12500 6-Cores, 8GB DDR4 RAM, 512GB PCIe NVMe SSD, Wired Keyboard-KB216 + Optical Mouse-MS116, 8x DVD+/-RW 9.5mm Slimline Optical Disk Drive, UBUNTU",20999.0,5.0,Dell,39.4 x 26.39 x 48.69 cm; 5.17 kg,J2MJD,DELL,OPTIPLEX 3000 I5-12500 8G 512G,Black,Tower,3840x2160,Intel,Core i5-12500,3 GHz,LGA 1700,6,256 GB,DDR4,DDR4 SDRAM,8 GB,3200 MHz,512 GB,SSD,PCIE x 4,Intel HD Graphics 2500,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,802.11ac,4,8x DVD+/-RW 9.5mm Slimline Optical Disk Drive,UBUBTU,No,5.17 Kilograms
"HP 1HK80EA ProDesk 600 G3 Microtower PC - Intel Core i5, 3.60 GHz, 500 GB",8140.0,3.6,HP,27.4 x 17 x 33.8 cm; 7.14 kg,ProDesk 600 G3 MT,hp,1HK80EA,Black,Smartphone,3.5 Inches,1920 x 1080,1920x1080,Intel,Core i5,3.6 GHz,LGA 1151 or LGA 1150 or LGA 1155 or LGA 1156,4,8 GB,DDR3,DDR4 SDRAM,4 GB,500 GB,HDD,Solid State,Speakers included,Intel HD Graphics 530,Intel,Integrated,DIMM,Integrated,Bluetooth,DVD-RW,Windows 10 Pro,7.14 Kilograms
"HP Z240 Tower WorkStation - Intel Core i5-6600, 1TB, 8GB, Eng-Arb-KB, Windows 10 Pro, Black",10400.0,3.4,HP,44.2 x 17 x 39.9 cm; 11 g,J9C04EA,hp,HP Z240,Black,Tower,3840 x 2160,3840x2160,Intel,Core i5 6600,3.3 GHz,LGA 1151,4,8 GB,DDR4,DDR4 SDRAM,1 TB,HDD,Serial ATA,AMD Radeon Graphics,AMD,Dedicated,DDR4 SDRAM,PCI Express,Wi-Fi,Windows 10 Pro,11 g
"Dell OptiPlex Tower Desktop - 12th Intel Core i5-12500 6-Cores, 8GB DDR4 RAM, 512GB PCIe NVMe SSD, Wired Keyboard-KB216 + Optical Mouse-MS116, 8x DVD+/-RW 9.5mm Slimline Optical Disk Drive, UBUNTU",20999.0,5.0,Dell,39.4 x 26.39 x 48.69 cm; 5.17 kg,J2MJD,DELL,OPTIPLEX 3000 I5-12500 8G 512G,Black,Tower,3840x2160,Intel,Core i5-12500,3 GHz,LGA 1700,6,256 GB,DDR4,DDR4 SDRAM,8 GB,3200 MHz,512 GB,SSD,PCIE x 4,Intel HD Graphics 2500,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,802.11ac,4,8x DVD+/-RW 9.5mm Slimline Optical Disk Drive,UBUBTU,No,5.17 Kilograms
"ASUS TUF FA506NFR-HN007W laptop/AMD Ryzen 7-7435HS / 8GB Ram / 512GB SSD/Nvidia RTX 2050 4GB / 15.6"" FHD 144Hz / Win11 / Graphite Black/En-Ar RGB",31220.0,5.0,ASUS,30 x 40 x 3 cm; 2.3 kg,1 Lithium Ion batteries required. (included),90NR0JU7-M000R0,ASUS,ASUS TUF,Black,Clamshell,15.6,1920 x 1200 pixels,1920x1200 Pixels,AMD,AMD Ryzen 7,3.1 GHz,8,DDR5,DDR5 RAM,32 GB,5600 MHz,512 GB,SSD,NVIDIA GeForce RTX 2050,NVIDIA,Dedicated,GDDR6,4 GB,Integrated,802.11ax,4,4,1,BD-R,Windows 11 Home,6 Hours,Yes,48 Watt Hours,Batteries contained in equipment,3,2.3 Kilograms
"Dell Vostro 3520 Laptop - 12th Intel Core i7-1255U 10-Cores, 16GB RAM, 512GB SSD, Intel UHD Graphics, 15.6"" FHD (1920 x 1080) 120Hz 250 nits Anti-Glare, FingerPrint, Ubuntu - Carbon Black",28042.2,3.2,Dell,49.2 x 32.4 x 7.3 cm; 1.83 kg,V3520I1255U16G512G,Dell,Vostro 3520,Carbon Black,Laptop,15.6 Inches,1920 x 1080 pixels,1920x1080 Pixels,Intel,Core i7-1255U,4.7,10,16 GB,DDR4,DDR4 SDRAM,16 GB,512 GB,512GB PCIe NVMe SSD,PCIE x 4,Speakers,Built-in speakers,Intel UHD Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,"802.11ac, Bluetooth wireless card","801.11ac, Bluetooth",1,2,1,1,240 Volts,Ubuntu,9 Hours,54 Watt Hours,Batteries contained in equipment,1.83 Kilograms
Dell Optiplex 7060 intel core i7-8700 Ram 8GB DDR4 HDD 1TB 7200RPM windows 10 Pro,15995.0,2.0,Dell,48.8 x 39.6 x 33.6 cm; 8.11 kg,Dell Optiplex 7060,Dell Computers,Optiplex 7060,Black,3840 x 2160,3840x2160,Intel,Core i7 8700,3.2 GHz,1,8 GB,DDR4,DDR4 SDRAM,8 GB,1 TB,HDD,Serial ATA,Intel UHD Graphics 630,Intel,Dedicated,Wi-Fi,802.11ac,Intel,Windows 10 Pro,8.11 Kilograms
"HP Z440 Workstation - Intel Xeon E5-1620 v4,1TB, 16GB, Eng-Arb-KB, Windows 10 Pro, Black",16474.0,3.6,HP,11 g,HP Z440 Workstation,HP,HP Z440 Workstation,Black,3840 x 2160,3840x2160,Intel,Intel Xeon,3.5 GHz,8,16 GB,DDR4,DDR4 SDRAM,16 GB,1 TB,HDD,GeForce GTX 1050 Ti,NVIDIA,Integrated,DDR4 SDRAM,PCI Express,Wi-Fi,802.11ac,Windows 10 Pro
