title,price,rating,Brand,Item Weight,Item model number,Manufacturer,Series,Form Factor,Standing screen display size,Screen Resolution,Resolution,Processor Brand,Processor Type,Processor Speed,Processor Socket,Processor Count,RAM Size,Memory Technology,Computer Memory Type,Maximum Memory Supported,Memory Clock Speed,Hard Drive Size,Hard Disk Description,Hard Drive Interface,Hard Disk Rotational Speed,Graphics Coprocessor,Graphics Chipset Brand,Graphics Card Description,Graphics RAM Type,Graphics Card Ram Size,Graphics Card Interface,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Optical Drive Type,Operating System
HP ProDesk 600 G3 Desktop Computer - Intel Core i5 (7th Gen) i5-7500 3.40 GHz - 8 GB DDR4 SDRAM - 500GB HDD - Windows 10 Pro 64-bit - Micro Tower - Jet Black - DVD-Writer,8950.0,3.0,Generic,7 Kilograms,600,Hewlett,HP-600-G3,Tower,7,3840 x 2160,3840x2160,Intel,Core i5,3.4 GHz,LGA 1155,4,8,DDR4,DDR4 SDRAM,64 GB,2400 MHz,500,HDD,Serial ATA,7200,Intel HD Graphics 630,Intel,Dedicated,GDDR5,256 MB,Integrated,4,4,DVD-R,Windows 10 Pro
"Dell Latitude 5490 14"" FHD (1920 x 1080) Business Laptop, Intel Core i5-7300U, 2.6Ghz Up to 3.5GHz, 16GB DDR4 RAM, 512GB SSD, Backlit Keyboard, VGA, HDMI, USB-C, Webcam, Windows 10 Pro (Renewed)",0.0,4.3,Dell,33.78 x 22.86 x 1.78 cm; 2.18 kg,Dell Latitude 5490,Dell,Dell Latitude 5490 Laptop,i5-7300U,Clamshell,14 Inches,1920 x 1080 pixels,1920x1080 Pixels,Intel,2.6 GHz,4,16 GB,DDR4,DDR4 SDRAM,16 GB,512 GB,SSD,Serial ATA,Speakers,Core i5-7300U,Intel,Integrated,DDR4 SDRAM,802.11bgn,240 Volts,No,PC,Windows 10 Pro,7 Hours,No,2.18 Kilograms
"HP Z420 Xeon E5-1610 v2 3.0GHz, 16GB, 1TB, 1GB VGA NVIDIA GT710, DVD-WR, Keyboard Mouse, WIN7 Pro Workstation",9100.0,2.3,HP,10 Kilograms,HP WORKSTATION Z420,hp,Z420,Black,Tower,1920 x 1080,1920x1080,Intel,Intel Xeon,3 GHz,2,1,DDR4,DDR4 SDRAM,16 GB,1 TB,HDD,Serial ATA,NVIDIA GeForce GT 710,NVIDIA,Dedicated,GDDR5,1 GB,PCI Express,Wi-Fi,DVD-RW,Windows 7 Professional
"Dell - OptiPlex 7060 Tower Desktop PC Intel Core i7-9700,32GB DDR4 RAM, 1TB HDD Plus 512GB SSD, 4GB Dedicated Graphic Card, Windows 10 Pro 64-bits",29950.0,1.0,Dell,11 g,7070,Dell Computers,Black,Black,Tower,3840 x 2160,Intel,Core i7,3 GHz,LGA 1151,1,32 GB,DDR4,DDR4 SDRAM,32 GB,1 TB,SSD,Serial ATA,Intel UHD Graphics 630,Intel,Dedicated,DDR4 SDRAM,4 GB,PCI Express,Wi-Fi,802.11ac,Intel,Windows 10
"Lenovo IdeaPad 3 15ALC6 Laptop - Ryzen 7 5700U 8 Cores, 8GB RAM, 1TB HDD, Integrated AMD Radeon Graphics, 15.6"" FHD (1920x1080) TN 250nits Anti-glare, Dos - Arctic Grey",20812.0,3.7,Lenovo,53.6 x 33.4 x 8.2 cm; 1.65 kg,Lenovo,Lenovo IdeaPad 3 - 82KU00WCAK,Arctic Grey,Laptop,15.6 Inches,1920 x 1080 pixels,1920x1080 Pixels,AMD,AMD Ryzen 7 5700U,1.8 GHz,8,8 GB,DDR4,DDR4 SDRAM,8 GB,1 TB,HDD,Serial ATA,Speakers,Built-in speakers for audio output,AMD Radeon Graphics,AMD,AMD Radeon Graphics,DDR4 SDRAM,Integrated,Bluetooth,1,1,24 Volts,DOS,38 Watt Hours,Batteries contained in equipment,1.65 Kilograms
"Lenovo V15 G2 Laptop - Ryzen 5 5500U 6-Cores, 8 GB RAM, 256 GB SSD PCIe NVMe, Integrated AMD Radeon Graphics, 15.6"" FHD (1920x1080) TN 250nits Anti-glare, Dos - Black",19550.0,3.4,Lenovo,55.7 x 34.5 x 7.4 cm; 1.7 kg,Lenovo V15 G2 5500U 8G 256G,Lenovo,Lenovo V15 G2 5500U 8G 256G,Black,Traditional Clamshell,15.6 Inches,1920 x 1080 pixels,1920x1080 Pixels,AMD,AMD Ryzen 5 5500U,2.1 GHz,6,8 GB,DDR4,DDR4 SDRAM,8 GB,256 GB,SSD,Speakers,Built-in Speakers,AMD,Integrated,DDR4 SDRAM,Integrated,"Bluetooth, Wi-Fi",1,1,7.7 Volts,DOS,12 Hours,1.7 Kilograms
"2022 Apple MacBook Air laptop with M2 chip: 13.6-inch Liquid Retina display, 8GB RAM, 256GB SSD storage, 1080p FaceTime HD camera. Works with iPhone and iPad; Starlight; English",48000.0,4.6,Apple,33.44 x 5.57 x 24.37 cm; 1.2 kg,1 Lithium Ion batteries required. (included),Apple M2,Apple,Starlight,Notebook,13.6 Inches,2560 x 1600 pixels,Apple,8,8 GB,DDR3,256 GB,"Headphones, Speakers",Apple,Integrated,Integrated,2,3.8 Volts,Mac OS,18 Hours,Yes,52.6 Watt Hours,Batteries contained in equipment,1,1.2 Kilograms
"Lenovo IdeaPad Flex 5 2n1 Laptop - Intel Core i5-1135G7, 8GB RAM, 256GB SSD, Intel Iris Xe Graphics, 14"" FHD (1920x1080) IPS 250nits 10-point Multi-touch, FingerPrint, Windows 11 + Lenovo Digital Pen",31900.0,3.6,Lenovo,47.6 x 28.2 x 6.9 cm; 1.5 kg,IdeaPad Flex 5 14ITL05,Lenovo,IdeaPad Flex 5 14ITL05 i5-1135G7 8G 256G W11,Graphite Grey,2-in1 Laptop,14 Inches,1920 x 1080 pixels,1920x1080 Pixels,Intel,Intel Core i5-1135G7,2.4 GHz,4,DDR4,DDR4 SDRAM,8 GB,3200 MHz,256 GB,256GB SSD M.2 2242 PCIe® 3.0x4 NVMe,PCIE x 4,High Definition (HD) Audio,"Stereo speakers, 2W x2, optimized with Dolby® Audio",Intel Iris Xe Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,"Bluetooth, Wi-Fi",2,5 Volts,Windows 11,10 Hours,No,52.5 Watt Hours,Batteries contained in equipment,1.5 Kilograms
"Dell Optiplex 9020MT Intel Core i7 16GB RAM 1TB Hdd, Win 7 Pro 18.5in Monitor Media Desktop Computer",0.0,2.3,Dell,121 x 121 x 121 cm; 21 kg,Assembled,Dell,Optiplex 9020MT,Black,18.5 Inches,1920 x 1080,1920x1080,Intel,Core i7,3.4 GHz,LGA 1156,1,16,DDR3,DDR3 SDRAM,16 GB,1 TB,HDD,Serial ATA,Integrated,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,802.11ac,1,Windows 7 Professional,21 Kilograms
Dell OptiPlex 5000 Desktop Computer - Intel Core i5 12th Gen i5-12500 Hexa-core (6 Core) 3 GHz - 8 GB RAM DDR4 SDRAM - 256 GB M.2 PCI Express NVMe 3.0 x4 SSD - Tower - Black,24700.0,0.0,Dell,39.37 x 33.78 x 49.28 cm; 7.23 kg,HYDM3,Dell Technologies,OptiPlex 5000,Black,Tower,Intel,Core i5,3 GHz,6,8 GB,DDR4,DDR4 SDRAM,128 GB,256 GB,SSD,Solid State,Intel UHD Graphics 770,Intel,Integrated,Shared,Integrated,Bluetooth,Bluetooth,4,1,DVD,PC,Windows 10 Pro,7.24 Kilograms
"Dell Latitude E5540 Intel Core i5 15.6in Notebook Computer (Ca002Le55402Edb-3Y, 500GB, 8GB SSD, 4 GB, Windows 8, Black)",13300.0,3.3,Dell,11 g,E5540,Dell Computers,Latitude,Black,Clamshell,15.6 Inches,1366 x 768 pixels,1366x768,Intel,Core i5,1.7 GHz,2,8,DDR4,DDR4 SDRAM,4 GB,500 GB,SSD,Serial ATA,Headphones,Intel,Integrated,Wi-Fi,DVD RW,Windows
"GMKtec M5 Plus Gaming Mini PC Ryzen 7 5825U (Upgraded 7430U/ 5700U), 32GB RAM 1TB SSD Dual NIC LAN 2.5GbE Desktop Computers Office Home, Triple 4K Display, WiFi 6E, USB3.2, USB-C, BT 5.2, DP, HDMI 2.0",38000.0,4.4,GMKtec,25.4 x 5.08 x 6.86 cm; 498.95 g,M5,Shenzhenshi Jimokekejiyouxiangongsi,M5,Space Blue,Small Form Factor,75 Inches,3840 x 2160,4096 × 2160,AMD,AMD Ryzen 7 5700U,4.3 GHz,FP6,8,32 GB,DDR4,SODIMM,32 GB,3200 MHz,1 TB,M.2 2280 NVME SSD Dual Slot Max. 4TB,PCIE x 16,7200 RPM,AMD Radeon Graphics (Integrated),AMD,Integrated,VRAM,32 GB,Integrated,Wi-Fi,"2.4 GHz Radio Frequency, 5 GHz Radio Frequency, 5.8 GHz Radio Frequency, 802.11a/b/g/n/ac, Bluetooth",2,2,1,PC,Windows 11 Pro,No,499 g
"Beelink EQ12 Mini PC with N100 Processor, 16G DDR5 500G SSD Mini Desktop PC, WiFi6, BT5.2, Triple Display Dual HDMI/Type-c, Dual Ethernet LAN Business Mini Computer",25880.0,4.5,Beelink,15.6 x 14.2 x 10.49 cm; 971 g,MINIS,"Shenzhen AZW Technology Co.,Ltd.",EQ12,Black,Stick,3840 x 2160,3840 x 2160 pixels,Intel,Celeron,3.4 GHz,Socket 7,4,16 GB,DDR5,DDR5 SDRAM,16 GB,500,SSD,PCIE x 4,500.00,Integrated Graphics,Intel,Integrated,DRAM,Integrated,Bluetooth,Bluetooth,2,Windows 11 Pro,No,971 g
"Lenovo V15 G2 Laptop - Ryzen 5 5500U 6 Cores, 8GB RAM, 1TB HDD, Integrated AMD Radeon Graphics, 15.6"" FHD (1920x1080) TN 250nits Anti-glare, Dos - Black",21000.09,4.0,Lenovo,53.4 x 33.1 x 7.3 cm; 1.7 kg,Lenovo V15 G2 5500U 8G 1T,Lenovo,Lenovo V15 G2 5500U 8G 1T,Black,Laptop,15.6 Inches,1920 x 1080 pixels,1920x1080 Pixels,AMD,AMD Ryzen 5 5500U,2.1 GHz,6,8 GB,DDR4,DDR4 SDRAM,12 GB,3200 MHz,1 TB,HDD,Serial ATA,Speakers,AMD Radeon,AMD,Integrated,DDR4 SDRAM,Integrated,11ac 2x2 + BT5.1,"801.11ac, Bluetooth",1,1,1,1,5 Volts,65 watts,DOS,38 Watt Hours,Batteries contained in equipment,1.7 Kilograms
"AWOW Mini PC Intel Core i9-11900H(4.9GHz, 8C/16T), NO RAM, NO SSD, NO OS, 4K Triple Display/WiFi6/BT5.2/2X 2.5G LAN/4X USB3.2 Gen 2, Mini Desktop Computer Barebone",34800.0,4.3,AWOW,17.78 x 17.78 x 6.35 cm; 952.54 g,MGI9,AWOW,Mini pc-MGI9,4096 x 2304,4096x2304,Intel,Core i9-11900H,4.9 GHz,FCBGA1787,8,32,DDR4,SODIMM,64 GB,4.9 GHz,SSD,Solid State,Intel UHD Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,Bluetooth,"802.11ax, Bluetooth",2,4,1,PC,Windows 10,No,953 g
